id,value
id_0,26
id_1,28
id_2,26
id_3,27
id_4,30
id_5,34
id_6,29
id_7,30
id_8,27
id_9,34
id_10,29
id_11,26
id_12,40
id_13,28
id_14,28
id_15,28
id_16,22
id_17,27
id_18,24
id_19,28
id_20,29
id_21,35
id_22,42
id_23,29
id_24,17
id_25,30
id_26,29
id_27,24
id_28,31
id_29,28
id_30,23
id_31,35
id_32,30
id_33,36
id_34,32
id_35,32
id_36,29
id_37,35
id_38,26
id_39,24
id_40,26
id_41,24
id_42,28
id_43,31
id_44,33
id_45,32
id_46,30
id_47,28
id_48,29
id_49,30
id_50,27
id_51,29
id_52,25
id_53,32
id_54,26
id_55,29
id_56,32
id_57,34
id_58,31
id_59,29
id_60,36
id_61,34
id_62,28
id_63,28
id_64,30
id_65,32
id_66,17
id_67,30
id_68,30
id_69,24
id_70,28
id_71,34
id_72,32
id_73,27
id_74,31
id_75,35
id_76,25
id_77,26
id_78,39
id_79,32
id_80,36
id_81,26
id_82,24
id_83,31
id_84,26
id_85,23
id_86,28
id_87,37
id_88,29
id_89,29
id_90,28
id_91,34
id_92,33
id_93,25
id_94,27
id_95,31
id_96,29
id_97,32
id_98,26
id_99,29
id_100,23
id_101,35
id_102,25
id_103,34
id_104,29
id_105,25
id_106,23
id_107,30
id_108,27
id_109,39
id_110,26
id_111,29
id_112,29
id_113,24
id_114,34
id_115,30
id_116,25
id_117,27
id_118,29
id_119,32
id_120,31
id_121,26
id_122,39
id_123,25
id_124,40
id_125,23
id_126,29
id_127,23
id_128,32
id_129,30
id_130,28
id_131,27
id_132,26
id_133,20
id_134,27
id_135,31
id_136,38
id_137,39
id_138,29
id_139,29
id_140,31
id_141,27
id_142,19
id_143,28
id_144,32
id_145,26
id_146,31
id_147,32
id_148,29
id_149,27
id_150,20
id_151,43
id_152,35
id_153,28
id_154,29
id_155,32
id_156,27
id_157,31
id_158,23
id_159,27
id_160,25
id_161,33
id_162,36
id_163,35
id_164,32
id_165,33
id_166,34
id_167,33
id_168,23
id_169,28
id_170,31
id_171,26
id_172,35
id_173,30
id_174,25
id_175,29
id_176,24
id_177,29
id_178,24
id_179,33
id_180,24
id_181,29
id_182,29
id_183,24
id_184,32
id_185,29
id_186,30
id_187,35
id_188,36
id_189,37
id_190,30
id_191,27
id_192,32
id_193,27
id_194,26
id_195,28
id_196,27
id_197,27
id_198,29
id_199,30
id_200,21
id_201,31
id_202,29
id_203,34
id_204,32
id_205,30
id_206,34
id_207,32
id_208,33
id_209,29
id_210,31
id_211,29
id_212,32
id_213,37
id_214,20
id_215,27
id_216,29
id_217,29
id_218,30
id_219,41
id_220,32
id_221,25
id_222,30
id_223,37
id_224,34
id_225,26
id_226,32
id_227,31
id_228,31
id_229,29
id_230,25
id_231,26
id_232,26
id_233,31
id_234,29
id_235,33
id_236,28
id_237,32
id_238,25
id_239,27
id_240,32
id_241,34
id_242,31
id_243,33
id_244,38
id_245,38
id_246,24
id_247,32
id_248,28
id_249,25
id_250,26
id_251,30
id_252,30
id_253,27
id_254,27
id_255,32
id_256,22
id_257,23
id_258,28
id_259,28
